synset,adverb,sentence,definition,type
00037166-r,intrinsically,this statement is interesting per se,with respect to its inherent nature,
00037166-r,per se,this statement is interesting per se,with respect to its inherent nature,
00037166-r,in and of itself,this statement is interesting per se,with respect to its inherent nature,
00037864-r,indeed,Wants to marry the butler? Indeed!,(used as an interjection) an expression of surprise or skepticism or irony etc.,
00038270-r,in the lurch,he resigned and left me in the lurch,in a difficult or vulnerable position,
00038658-r,forsooth,,an archaic word originally meaning ‘in truth’ but now usually used to express disbelief,
00038782-r,in utero,the child was infected in utero from the mother,in the uterus,
00038883-r,in vacuo,,in a vacuum,
00038931-r,in vacuo,,in isolation and without reference to anything else,
00039019-r,naturally,"naturally, the lawyer sent us a huge bill",as might be expected,
00039019-r,of course,"naturally, the lawyer sent us a huge bill",as might be expected,
00039019-r,course,"naturally, the lawyer sent us a huge bill",as might be expected,
00039611-r,unclearly,,in a manner that is unclear,
00040906-r,withal,,together with this,
00041131-r,unexpectedly,her brother showed up at the wedding out of the blue,in a way that was not expected,
00041131-r,out of the blue,her brother showed up at the wedding out of the blue,in a way that was not expected,
00041294-r,out of the way,put that box out of the way so that no one trips on it,so as not to obstruct or hinder,
00041426-r,out of the way,the mob boss wanted his rival out of the way,murdered,
00041525-r,out of the way,,in a remote location or at a distance from the usual route,
00041626-r,out of the way,,improper; amiss,
00041684-r,out of the way,such erratic behavior was out of the way for him,extraordinary; unusual,
00041802-r,off the beaten track,"in order to experience something different, you need to go off the beaten path",not along the usual route,
00041802-r,off the beaten path,"in order to experience something different, you need to go off the beaten path",not along the usual route,
00041980-r,in the way,"she might have succeeded in her ambition, had not circumstances been in her way","forming a hindrance, impediment, or obstruction",
00041980-r,in someone's way,"she might have succeeded in her ambition, had not circumstances been in her way","forming a hindrance, impediment, or obstruction",
00042364-r,generally,he is interested in snakes in general,without distinction of one from others,
00042364-r,in general,he is interested in snakes in general,without distinction of one from others,
00042364-r,in the main,he is interested in snakes in general,without distinction of one from others,
00043757-r,ergo,,(used as a sentence connector) therefore or consequently,
00043931-r,hence,get thee hence!,from this place,
00044804-r,face to face,the boy and the policeman suddenly came face-to-face at the corner,involving close contact; confronting each other,
00045694-r,tete a tete,we talked tete-a-tete,without the intrusion of a third person; in intimate privacy,
00045819-r,if not,will yield 10% if not more,perhaps; indicating possibility of being more remarkable (greater or better or sooner) than,
00047083-r,beyond measure,amazed beyond measure,in excess or without limit,
00047594-r,by far,she was by far the smartest student,by a considerable margin,
00047594-r,far and away,she was by far the smartest student,by a considerable margin,
00047594-r,out and away,she was by far the smartest student,by a considerable margin,
00047777-r,head and shoulders above,in intelligence he was head and shoulders above the others in his class,outstandingly superior to,
00048676-r,finally,,after an unspecified period of time or an especially long delay,
00048676-r,eventually,,after an unspecified period of time or an especially long delay,
00050296-r,now,Now the next problem is …,(prefatory or transitional) indicates a change of subject or activity,
00050427-r,now now,,interjection of rebuke,
00053542-r,very well,,an expression of agreement normally occurring at the beginning of a sentence,
00053542-r,fine,,an expression of agreement normally occurring at the beginning of a sentence,
00053542-r,alright,,an expression of agreement normally occurring at the beginning of a sentence,
00053542-r,all right,,an expression of agreement normally occurring at the beginning of a sentence,
00053542-r,OK,,an expression of agreement normally occurring at the beginning of a sentence,
00053690-r,all right,it's expensive all right,without doubt (used to reinforce an assertion),
00053690-r,alright,it's expensive all right,without doubt (used to reinforce an assertion),
00054490-r,presumably,"presumably, he missed the train",by reasonable assumption,
00054490-r,presumptively,"presumably, he missed the train",by reasonable assumption,
00054865-r,for the moment,we'll stop for the time being,temporarily,
00054865-r,for the time being,we'll stop for the time being,temporarily,
00055062-r,by hand,this dress is sewn by hand,without the use of a machine,
00055174-r,by machine,the shirt is sewn by machine,with the use of a machine,
00055288-r,hand to hand,fought hand to hand,at close quarters,
00055369-r,hand to mouth,they lived from hand to mouth,with barely enough money for immediate needs,
00057190-r,drastically,,in a drastic manner,
00057267-r,at all,"Are you at all interested? No, not at all",in the slightest degree or in any respect,
00057267-r,in the least,"Are you at all interested? No, not at all",in the slightest degree or in any respect,
00057267-r,the least bit,"Are you at all interested? No, not at all",in the slightest degree or in any respect,
00057454-r,by all means,Visit us by all means,definitely or certainly,
00057580-r,by no means,the prize is by no means certain,definitely not,
00057580-r,not by a long sight,the prize is by no means certain,definitely not,
00057580-r,not by a blame sight,the prize is by no means certain,definitely not,
00059029-r,indigenously,,in an indigenous manner,
00059111-r,individualistically,,in an individualistic manner,
00059205-r,intractably,,in an intractable manner,
00059709-r,a lot,I feel a lot better,to a very great degree or extent,
00059709-r,lots,I feel a lot better,to a very great degree or extent,
00059709-r,a good deal,I feel a lot better,to a very great degree or extent,
00059709-r,a great deal,I feel a lot better,to a very great degree or extent,
00060085-r,often,,in many cases or instances,
00060735-r,de facto,"the result was, de facto, a one-party system",in reality or fact,
00060838-r,for all practical purposes,to all intents and purposes the case is closed,in every practical sense,
00060838-r,to all intents and purposes,to all intents and purposes the case is closed,in every practical sense,
00060838-r,for all intents and purposes,to all intents and purposes the case is closed,in every practical sense,
00061079-r,reproducibly,,in a manner that is reproducible,
00062352-r,presto,"{'source': 'Swift', 'text': ""Presto! begone! 'tis here again""}",suddenly as if by a magic trick,
00062437-r,presto,,at a very fast tempo (faster than allegro),
00062533-r,inscriptively,,by means of an inscription,
00062619-r,inscrutably,,in an inscrutable manner,
00062701-r,insecticidally,,by means of an insecticide,
00062788-r,insensately,,in an insensate manner,
00063907-r,let alone,"she can't boil potatoes, let alone cook a meal",much less,
00063907-r,not to mention,"she can't boil potatoes, let alone cook a meal",much less,
00064021-r,a fortiori,"if you are wrong then, a fortiori, so am I","with greater reason; for a still stronger, more certain reason",
00064312-r,all together,they were herded all together,used of a group whose members acted or were acted upon collectively and when ‘all’ and ‘together’ can be separated by other words,
00065584-r,meanwhile,"meanwhile, back at the ranch …",at the same time but in another place,
00065886-r,largo,,slowly and broadly,
00066222-r,last,"last, I'll discuss family values",the item at the end,
00066222-r,lastly,"last, I'll discuss family values",the item at the end,
00066222-r,in conclusion,"last, I'll discuss family values",the item at the end,
00066222-r,finally,"last, I'll discuss family values",the item at the end,
00066363-r,last but not least,"last not least, he plays the saxophone",in addition to all the foregoing,
00066363-r,last not least,"last not least, he plays the saxophone",in addition to all the foregoing,
00066500-r,lastingly,,in an enduring or permanent manner,
00066927-r,affectedly,,in an affected manner,
00068615-r,all along,She had known all along,all the time or over a period of time,
00068615-r,right along,She had known all along,all the time or over a period of time,
00071050-r,analogously,"analogously, we have a variable",in an analogous manner,
00073049-r,here and there,he worked here and there but never for long in one town,in or to various places; first this place and then that; location pronoun,
00076147-r,abeam,,at right angles to the length of a ship or airplane,
00076459-r,back and forth,he traveled back and forth between Los Angeles and New York,moving from one place to another and back again,
00076459-r,backward and forward,he traveled back and forth between Los Angeles and New York,moving from one place to another and back again,
00076459-r,to and fro,he traveled back and forth between Los Angeles and New York,moving from one place to another and back again,
00076778-r,up and down,he walked up and down the locker room,moving backward and forward along a given course,
00078316-r,conversely,"conversely, not all women are mothers",with the terms of the relation reversed,
00080389-r,below,,in or to a place that is lower,
00080389-r,at a lower place,,in or to a place that is lower,
00080389-r,to a lower place,,in or to a place that is lower,
00080389-r,beneath,,in or to a place that is lower,
00080519-r,above,,in or to a place that is higher,
00080519-r,higher up,,in or to a place that is higher,
00080519-r,in a higher place,,in or to a place that is higher,
00080519-r,to a higher place,,in or to a place that is higher,
00080654-r,in the bargain,He lost his wife in the bargain,in addition; over and above what is expected,
00080654-r,into the bargain,He lost his wife in the bargain,in addition; over and above what is expected,
00080795-r,contemptibly,,in a manner deserving contempt,
00082389-r,dazzlingly,,in a manner or to a degree that dazzles the beholder,
00082842-r,deprecatively,,in a deprecative manner,
00082925-r,depressingly,,in a depressing manner or to a depressing degree,
00083032-r,dichotomously,,in a dichotomous manner,
00083115-r,digitately,,in a digitate manner,
00083192-r,disruptively,,in a disruptive manner,
00083430-r,dorsally,,in a dorsal location or direction,
00083653-r,ventrally,,in a ventral location or direction,
00084962-r,ex cathedra,the pope must speak ex cathedra for an encyclical to be infallible,with the full authority of the office,
00085603-r,exasperatingly,,in an exasperating manner,
00086390-r,apace,,"(poetic, literary) quickly",
00086743-r,flat out,he ran flat out to catch the bus,at top speed,
00086743-r,like blue murder,he ran flat out to catch the bus,at top speed,
00087016-r,quicker,,more quickly,
00087016-r,faster,,more quickly,
00087109-r,slower,,more slowly,
00087173-r,quickest,,most quickly,
00087173-r,fastest,,most quickly,
00087268-r,slowest,,most slowly,
00087333-r,permissively,,in a permissive manner,
00087414-r,permissibly,,in a permissible manner,
00087414-r,allowably,,in a permissible manner,
00088265-r,ad infinitum,talked on and on ad infinitum,to infinity; without or seemingly without limit,
00088561-r,in perpetuity,bequeathed to the nation in perpetuity,for an indefinitely long time,
00088674-r,in perpetuity,desire happiness in perpetuity,for life,
00089037-r,ad interim,elected to serve ad interim,for an intervening time; temporarily,
00089143-r,ad lib,he spoke ad lib,without advance preparation,
00089143-r,ad libitum,he spoke ad lib,without advance preparation,
00089143-r,spontaneously,he spoke ad lib,without advance preparation,
00089143-r,impromptu,he spoke ad lib,without advance preparation,
00091139-r,energetically,,in an energetic manner,
00091747-r,reluctantly,,with reluctance,
00094530-r,intradermally,,into the skin,
00097658-r,upriver,,toward the source or against the current,
00097658-r,upstream,,toward the source or against the current,
00097781-r,downriver,,away from the source or with the current,
00097781-r,downstream,,away from the source or with the current,
00098716-r,at home,he worked at home,"at, to, or toward the place where you reside",
00098817-r,at home,they played at home last night,on the home team's field,
00101323-r,for that matter,for that matter I don't care either,as far as that is concerned,
00102579-r,far and wide,he traveled far and wide,over great areas or distances; everywhere,
00102579-r,far and near,he traveled far and wide,over great areas or distances; everywhere,
00102808-r,fictitiously,,in a fictional manner (created by the imagination),
00102917-r,fictitiously,,in a false manner intended to mislead,
00103431-r,second,"second, we must consider the economy",in the second place,
00103431-r,secondly,"second, we must consider the economy",in the second place,
00103744-r,initially,at first he didn't notice anything strange,at the beginning,
00103744-r,ab initio,at first he didn't notice anything strange,at the beginning,
00103744-r,at first,at first he didn't notice anything strange,at the beginning,
00103874-r,at first sight,it was love at first sight,on first seeing (someone or something); immediately,
00103874-r,at first glance,it was love at first sight,on first seeing (someone or something); immediately,
00104016-r,at first sight,,"after an initial impression, which later proves incorrect",
00104016-r,at first glance,,"after an initial impression, which later proves incorrect",
00104134-r,at first blush,at first blush the offer seemed attractive,as a first impression,
00104134-r,when first seen,at first blush the offer seemed attractive,as a first impression,
00104351-r,and so forth,,continuing in the same way,
00104351-r,and so on,,continuing in the same way,
00104351-r,etcetera,,continuing in the same way,
00104351-r,etc.,,continuing in the same way,
00104786-r,at heart,she is very kind at heart,in reality,
00104786-r,at bottom,she is very kind at heart,in reality,
00104786-r,deep down,she is very kind at heart,in reality,
00104786-r,inside,she is very kind at heart,in reality,
00104786-r,in spite of appearance,she is very kind at heart,in reality,
00104920-r,at large,he talked at large about his plans,in a general fashion,
00104920-r,in a broad way,he talked at large about his plans,in a general fashion,
00105032-r,at least,at least two hours studying the manual,not less than,
00105032-r,at the least,at least two hours studying the manual,not less than,
00105215-r,at most,spend at most $20 on the lunch,not more than,
00105215-r,at the most,spend at most $20 on the lunch,not more than,
00105348-r,at least,at least he survived,if nothing else (‘leastwise’ is informal and ‘leastways’ is colloquial),
00105348-r,leastways,at least he survived,if nothing else (‘leastwise’ is informal and ‘leastways’ is colloquial),
00105348-r,leastwise,at least he survived,if nothing else (‘leastwise’ is informal and ‘leastways’ is colloquial),
00105348-r,at any rate,at least he survived,if nothing else (‘leastwise’ is informal and ‘leastways’ is colloquial),
00105927-r,just then,just then the bugle sounded,at a particular time in the past,
00106462-r,at best,at best we'll lose only the money,under the best of conditions,
00106462-r,at the best,at best we'll lose only the money,under the best of conditions,
00106595-r,at worst,at worst we'll go to jail,under the worst of conditions,
00106595-r,at the worst,at worst we'll go to jail,under the worst of conditions,
00106723-r,demoniacally,,in a very agitated manner; as if possessed by an evil spirit,
00106723-r,frenetically,,in a very agitated manner; as if possessed by an evil spirit,
00107831-r,as usual,"as usual, she arrived late",in the usual manner,
00109415-r,here,"come here, please",to this place (especially toward the speaker),
00109415-r,hither,"come here, please",to this place (especially toward the speaker),
00111558-r,inside,"inside, the car is a mess",on the inside,
00111558-r,within,"inside, the car is a mess",on the inside,
00111662-r,outside,"outside, the box is black",on the outside,
00112653-r,least of all,"nobody, least of all Joe, agreed with me",especially not,
00113197-r,globally,"think globally, not locally",with respect to the whole earth,
00113930-r,de novo,,from the beginning,
00114741-r,unfailingly,,without fail,
00115368-r,unofficially,"unofficially, he serves as the treasurer",not in an official capacity,
00115839-r,peripherally,,in or at or near a periphery or according to a peripheral role or function or relationship,
00116911-r,pornographically,,in a pornographic manner,
00116998-r,self-indulgently,,in a self-indulgent manner,
00117087-r,symbiotically,,in a symbiotic manner,
00117612-r,in concert,act in concert,with a common plan,
00117612-r,together,act in concert,with a common plan,
00117806-r,in on,was in on the scheme,participating in or knowledgeable out,
00119623-r,irregardless,,regardless; a combination of irrespective and regardless sometimes used humorously,
00120125-r,as far as possible,she helped him as much as possible,to a feasible extent,
00120125-r,as much as possible,she helped him as much as possible,to a feasible extent,
00120252-r,on the coattails,the CEO resigned on the coattails of the scandal,immediately following or undeservedly benefiting from,
00120252-r,on one's coattails,the CEO resigned on the coattails of the scandal,immediately following or undeservedly benefiting from,
00120473-r,on the other hand,"on the other hand, she is too ambitious for her own good",(contrastive) from another point of view,
00120473-r,then again,"on the other hand, she is too ambitious for her own good",(contrastive) from another point of view,
00120682-r,on the one hand,"on the one hand, she is a gifted chemist",from one point of view,
00120682-r,on one hand,"on the one hand, she is a gifted chemist",from one point of view,
00122170-r,academically,"academically, this is a good school",in regard to academic matters,
00123514-r,undemocratically,"undemocratically, he made all the important decisions without his colleagues",in an undemocratic manner,
00124384-r,economically,,in an economical manner,
00125152-r,idyllically,,in an idyllic manner,
00125333-r,injuriously,,in an injurious manner,
00125413-r,irrevocably,,in an irrevocable manner,
00125817-r,medicinally,,in a medicinal manner,
00126790-r,rewardingly,,in a rewarding manner,
00126997-r,sacrilegiously,,in a sacrilegious manner,
00128014-r,technically,"technically, a bank's reserves belong to the stockholders",according to the exact meaning; according to the facts,
00128750-r,therapeutically,,for therapeutic purposes,
00128836-r,geothermally,,by means of heat from the interior of the earth,
00128942-r,thermally,,by means of heat or with respect to thermal properties,
00131535-r,limitedly,,in a limited manner,
00133132-r,personally,"personally, I find him stupid",concerning the speaker,
00134663-r,neurobiological,explain the phenomenon neurobiologically,with respect to neurobiology,
00134925-r,musicologically,,with respect to musicology,
00135342-r,metonymically,,in a metonymic manner,
00136998-r,facially,,with respect to the face,
00138072-r,operatively,,in a manner to produce an effect,
00138269-r,chromatographically,,by means of a chromatographic process,
00139881-r,undramatically,,in an undramatic manner,
00142439-r,episodically,,in an episodic manner,
00142726-r,frontally,,"in, at, or toward the front",
00143610-r,horticulturally,,by means of horticulture,
00144102-r,insistently,,in an insistent manner,
00144584-r,rurally,,in a rural manner,
00144980-r,monosyllabically,,in a monosyllabic manner,
00145067-r,polysyllabically,,in a polysyllabic manner,
00145154-r,symptomatically,,by symptoms,
00146749-r,enough,have I eaten enough?,as much as necessary,
00146749-r,plenty,have I eaten enough?,as much as necessary,
00147536-r,sic,,intentionally so written (used after a printed word or phrase),
00148538-r,hand and foot,they served him hand and foot,in all ways possible,
00148633-r,hand in hand,they walked hand in hand,clasping each other's hands,
00148729-r,hand over fist,made money hand over fist,at a tremendous rate,
00149387-r,in hand,the riots were in hand,under control,
00149480-r,out of hand,the riots got out of hand,out of control,
00149480-r,beyond control,the riots got out of hand,out of control,
00149598-r,in a way,she was right in a way,from some points of view,
00149685-r,factually,"they learn much, factually, about the problems of retirement and provision for old age, and, psychologically, in the sharing of their thoughts on retirement",as a fact or based on fact,
00149927-r,in fact,"in fact, it was a wonder anyone survived",in reality or actuality,
00149927-r,in point of fact,"in fact, it was a wonder anyone survived",in reality or actuality,
00149927-r,as a matter of fact,"in fact, it was a wonder anyone survived",in reality or actuality,
00151192-r,to be sure,"to be sure, he is no Einstein",admittedly,
00151192-r,without doubt,"to be sure, he is no Einstein",admittedly,
00151192-r,no doubt,"to be sure, he is no Einstein",admittedly,
00151301-r,sure enough,"sure enough, he asked her for money again",as supposed or expected,
00151409-r,right,,"an interjection expressing agreement; Yes, you are indeed correct",
00151409-r,right on,,"an interjection expressing agreement; Yes, you are indeed correct",
00151490-r,in toto,they bought the business in toto,in entirety,
00151616-r,in the least,are you in the least interested?,to any extent at all,
00151616-r,even a little,are you in the least interested?,to any extent at all,
00151729-r,above all,"above all, you must be independent",above and beyond all other consideration,
00151729-r,most importantly,"above all, you must be independent",above and beyond all other consideration,
00151729-r,most especially,"above all, you must be independent",above and beyond all other consideration,
00151882-r,in absentia,he was sentenced in absentia,while absent; although absent,
00151983-r,across the board,we got a pay raise across the board,including all,
00152098-r,after a fashion,he speaks French after a fashion,to some extent; not very well,
00152207-r,after all,"after all, she is your boss, so invite her",emphasizes something to be considered,
00152363-r,after all,came to the party after all,in spite of expectations,
00152484-r,after hours,he often worked after hours,not during regular hours,
00152579-r,against the clock,it was a race against the clock,as fast as possible; before a deadline,
00152579-r,against time,it was a race against the clock,as fast as possible; before a deadline,
00152713-r,ahead of the game,she's ahead of the game,in an advantageous position,
00152813-r,all in all,"altogether, I'm sorry it happened",with everything considered (and neglecting details),
00152813-r,on the whole,"altogether, I'm sorry it happened",with everything considered (and neglecting details),
00152813-r,altogether,"altogether, I'm sorry it happened",with everything considered (and neglecting details),
00152813-r,tout ensemble,"altogether, I'm sorry it happened",with everything considered (and neglecting details),
00153015-r,all of a sudden,"all at once, he started shouting",suddenly,
00153015-r,all at once,"all at once, he started shouting",suddenly,
00153124-r,all the way,she climbed the mountain all the way,to the goal,
00153124-r,the whole way,she climbed the mountain all the way,to the goal,
00153231-r,all the way,she went all the way with him,not stopping short of sexual intercourse,
00153344-r,from start to finish,,thoroughly,
00153403-r,and how,,an expression of emphatic agreement,
00153403-r,you bet,,an expression of emphatic agreement,
00153403-r,you said it,,an expression of emphatic agreement,
00153498-r,and then some,it cost me a week's salary and then some,and considerably more in addition,
00153617-r,around the clock,she worked around the clock,endlessly,
00153617-r,for 24 hours,she worked around the clock,endlessly,
00153617-r,round the clock,she worked around the clock,endlessly,
00153742-r,as follows,her complaints went as follows,what is listed next,
00153834-r,as it were,"she lives here, as it were",as if it were really so,
00153834-r,so to speak,"she lives here, as it were",as if it were really so,
00153940-r,as we say,"the feeling is, as we say, quite dead",in a manner of speaking,
00153940-r,so to speak,"the feeling is, as we say, quite dead",in a manner of speaking,
00154056-r,as the crow flies,it's 10 miles as the crow flies,by the shortest and most direct route,
00154174-r,at all costs,he wanted to save her life at all cost,regardless of the cost involved,
00154174-r,at any cost,he wanted to save her life at all cost,regardless of the cost involved,
00154174-r,at any expense,he wanted to save her life at all cost,regardless of the cost involved,
00154319-r,at a time,he took three cookies at a time,simultaneously,
00154319-r,at once,he took three cookies at a time,simultaneously,
00154319-r,at one time,he took three cookies at a time,simultaneously,
00154430-r,at will,he can roam the neighborhood at will,as one chooses or pleases,
00154814-r,mindfully,,in a careful deliberate manner,
00154814-r,heedfully,,in a careful deliberate manner,
00154814-r,advertently,,in a careful deliberate manner,
00154998-r,unmindfully,,in a careless and thoughtless manner,
00155582-r,purportedly,,believed or reputed to be the case,
00155582-r,supposedly,,believed or reputed to be the case,
00155858-r,originally,,in an manner suggesting originality,
00155936-r,unoriginally,,in an unoriginal manner,
00156476-r,by a long shot,he is the best by a long shot,by a great deal,
00156754-r,by and large,by and large it doesn't rain much here,usually; as a rule,
00156754-r,generally,by and large it doesn't rain much here,usually; as a rule,
00156754-r,more often than not,by and large it doesn't rain much here,usually; as a rule,
00156754-r,mostly,by and large it doesn't rain much here,usually; as a rule,
00156898-r,by hook or by crook,I'll pass this course by hook or by crook,in any way necessary; by any possible means,
00157034-r,by heart,she knew the poem by heart,by committing to memory,
00157034-r,by memory,she knew the poem by heart,by committing to memory,
00157136-r,by inches,they moved it by inches,by a short distance,
00157136-r,little by little,they moved it by inches,by a short distance,
00157136-r,by small degrees,they moved it by inches,by a short distance,
00157258-r,by fits and starts,he worked on his book by fits and starts,intermittently,
00157363-r,by the way,"incidentally, I won't go to the party",introducing a different topic,
00157363-r,by the bye,"incidentally, I won't go to the party",introducing a different topic,
00157363-r,incidentally,"incidentally, I won't go to the party",introducing a different topic,
00157363-r,apropos,"incidentally, I won't go to the party",introducing a different topic,
00157510-r,by the piece,she sold the plates by the piece,one piece at a time,
00157510-r,one by one,she sold the plates by the piece,one piece at a time,
00157619-r,orally,these stories were transmitted by word of mouth,by spoken rather than written means,
00157619-r,by word of mouth,these stories were transmitted by word of mouth,by spoken rather than written means,
00157956-r,come hell or high water,we'll go to Tibet come hell or high water,in spite of all obstacles,
00157956-r,no matter what happens,we'll go to Tibet come hell or high water,in spite of all obstacles,
00157956-r,whatever may come,we'll go to Tibet come hell or high water,in spite of all obstacles,
00158123-r,day in and day out,he plays chess day in and day out,without respite,
00158123-r,all the time,he plays chess day in and day out,without respite,
00158237-r,dead ahead,the laboratory is dead ahead,exactly ahead or in front,
00158427-r,en masse,the students turned out en masse,all together,
00158427-r,en bloc,the students turned out en masse,all together,
00158427-r,as a group,the students turned out en masse,all together,
00158535-r,every so often,every so often she visits her father,occasionally,
00158535-r,every now and then,every so often she visits her father,occasionally,
00158651-r,every inch,he was every inch a statesman,in every way; completely,
00159313-r,first and last,she was first and last a scientist,taking everything together,
00159313-r,above all,she was first and last a scientist,taking everything together,
00159774-r,for a song,we bought the house for a song,for a relatively small amount of money,
00159774-r,for a bargain price,we bought the house for a song,for a relatively small amount of money,
00159774-r,at a low price,we bought the house for a song,for a relatively small amount of money,
00159924-r,for dear life,he was running for dear life,as though your life was at stake,
00160030-r,at stake,perhaps a million dollars are at stake,to be won or lost; at risk,
00160135-r,at stake,there is more at stake than your modesty,in question or at issue,
00160239-r,for example,"take ribbon snakes, for example",as an example,
00160239-r,for instance,"take ribbon snakes, for example",as an example,
00160239-r,e.g.,"take ribbon snakes, for example",as an example,
00160349-r,for good measure,"the car salesman threw in the radio, for good measure",in addition (as to close a deal),
00160483-r,for keeps,they played for keeps,for the winner to keep all,
00160572-r,for love or money,she wouldn't give up her pets for love or money,under any circumstances,
00160572-r,for anything,she wouldn't give up her pets for love or money,under any circumstances,
00160572-r,for any price,she wouldn't give up her pets for love or money,under any circumstances,
00160572-r,for all the world,she wouldn't give up her pets for love or money,under any circumstances,
00160743-r,for one,I for one feel very grateful,as a particular one of several possibilities,
00160889-r,for short,call me Bob for short,as an abbreviation,
00160970-r,for the asking,advice was free for the asking,on the occasion of a request,
00160970-r,on request,advice was free for the asking,on the occasion of a request,
00161088-r,from scratch,he baked the torte from scratch,"from the beginning, especially without relying on resources or other advantages",
00161285-r,sincerely,,written formula for ending a letter,
00161285-r,sincerely yours,,written formula for ending a letter,
00161376-r,from way back,she knows him from way back,since long ago,
00161376-r,since a long time ago,she knows him from way back,since long ago,
00161487-r,close to the wind,sailing close to the wind,nearly opposite to the direction from which wind is coming,
00164539-r,hand in glove,they work hand in glove,in close cooperation,
00164539-r,hand and glove,they work hand in glove,in close cooperation,
00164539-r,cooperatively,they work hand in glove,in close cooperation,
00164679-r,cheek by jowl,the houses were jumbled together cheek by jowl,in close proximity,
00164903-r,head over heels,we ran head over heels toward the shelter,in disorderly haste,
00164903-r,heels over head,we ran head over heels toward the shelter,in disorderly haste,
00164903-r,topsy-turvy,we ran head over heels toward the shelter,in disorderly haste,
00164903-r,topsy-turvily,we ran head over heels toward the shelter,in disorderly haste,
00164903-r,in great confusion,we ran head over heels toward the shelter,in disorderly haste,
00165080-r,fecklessly,,in a feckless manner; irresponsibly and incompetently,
00165552-r,heart and soul,she was with him heart and soul,with complete faith,
00165552-r,body and soul,she was with him heart and soul,with complete faith,
00165665-r,hook line and sinker,"he believed her story hook, line, and sinker",without reservations,
00165777-r,in circles,the candidates talked in circles,without making progress,
00165875-r,in a pig's eye,,absolutely not; never,
00165958-r,in case,in case of trouble call 911,if there happens to be need,
00165958-r,just in case,in case of trouble call 911,if there happens to be need,
