synset,adverb,sentence,type
00007009-r,appreciably,the weather was appreciably colder,adverb.degree
00007128-r,ultrasonically,the kidney stones were removed ultrasonically,adverb.manner
00007257-r,smartly,He was smartly dressed,adverb.manner
00007414-r,approximately,lasted approximately an hour,adverb.degree
00007414-r,about,in just about a minute,adverb.degree
00007414-r,about,he's about 30 years old,adverb.degree
00007414-r,about,I've had about all I can stand,adverb.degree
00007414-r,about,we meet about once a month,adverb.degree
00007414-r,some,some forty people came,adverb.degree
00007414-r,around,weighs around a hundred pounds,adverb.degree
00007414-r,roughly,"roughly $3,000",adverb.degree
00007887-r,absolutely,we are absolutely opposed to the idea,adverb.degree
00007887-r,absolutely,he forced himself to lie absolutely still,adverb.degree
00007887-r,absolutely,iron is absolutely necessary,adverb.degree
00008102-r,partly,I felt partly to blame,adverb.degree
00008102-r,partially,He was partially paralyzed,adverb.degree
00008300-r,half,he was half hidden by the bushes,adverb.degree
00008423-r,wholly,he was wholly convinced,adverb.degree
00008423-r,entirely,entirely satisfied with the meal,adverb.degree
00008423-r,completely,it was completely different from what we expected,adverb.degree
00008423-r,completely,was completely at fault,adverb.degree
00008423-r,totally,a totally new situation,adverb.degree
00008423-r,all,the directions were all wrong,adverb.degree
00008423-r,altogether,it was not altogether her fault,adverb.degree
00008423-r,altogether,an altogether new approach,adverb.degree
00008423-r,whole,a whole new idea,adverb.degree
00008423-r,right,she felt right at home,adverb.degree
00008423-r,right,he fell right into the trap,adverb.degree
00009062-r,entirely,was entirely to blame,adverb.degree
00009062-r,entirely,a school devoted entirely to the needs of problem children,adverb.degree
00009062-r,exclusively,he works for Mr. Smith exclusively,adverb.focus
00009062-r,solely,did it solely for money,adverb.focus
00009062-r,alone,the burden of proof rests on the prosecution alone,adverb.focus
00009062-r,only,a privilege granted only to him,adverb.focus
00009459-r,absolutely,an absolutely magnificent painting,adverb.degree
00009459-r,perfectly,a perfectly idiotic idea,adverb.degree
00009459-r,perfectly,you're perfectly right,adverb.degree
00009459-r,utterly,utterly miserable,adverb.degree
00009459-r,dead,you can be dead sure of my innocence,adverb.degree
00009459-r,dead,was dead tired,adverb.degree
00009459-r,dead,dead right,adverb.degree
00009835-r,clean,clean forgot the appointment,adverb.degree
00009835-r,plumb,I'm plumb (or plum) tuckered out,adverb.degree
00010003-r,plumb,fell plumb in the middle of the puddle,adverb.degree
00010112-r,perfectly,She performed perfectly on the balance beam,adverb.manner
00010112-r,perfectly,spoke English perfectly,adverb.manner
00010112-r,perfectly,solved the problem perfectly,adverb.manner
00010321-r,pat,he has the lesson pat,adverb.degree
00010321-r,pat,had the system down pat,adverb.degree
00010428-r,please,please pay attention,adverb.speaker_oriented
00010509-r,imperfectly,The lobe was imperfectly developed,adverb.manner
00010738-r,amiss,"if you think him guilty, you judge amiss",adverb.manner
00010738-r,amiss,he spoke amiss,adverb.manner
00010738-r,amiss,no one took it amiss when she spoke frankly,adverb.manner
00010928-r,fully,fully grown,adverb.degree
00010928-r,fully,he didn't fully understand,adverb.degree
00010928-r,full,knew full well,adverb.degree
00011221-r,only,He arrived only to find his wife dead,adverb.conjunctive
00011221-r,only,We won only to lose again in the next round,adverb.conjunctive
00011376-r,only,These news will only make you more upset,adverb.focus
00011473-r,only,I spoke to him only an hour ago,adverb.focus
00011555-r,well,the children behaved well,adverb.manner
00011555-r,well,a task well done,adverb.manner
00011555-r,well,the party went well,adverb.manner
00011555-r,well,he slept well,adverb.manner
00011555-r,good,the baby can walk pretty good,adverb.manner
00011978-r,ill,he was ill prepared,adverb.degree
00011978-r,ill,it ill befits a man to betray old friends,adverb.manner
00011978-r,badly,the car runs badly,adverb.manner
00011978-r,badly,he performed badly on the exam,adverb.manner
00011978-r,poorly,the team played poorly,adverb.manner
00012378-r,ill,we can ill afford to buy a new car just now,adverb.degree
00012591-r,well,took the joke well,adverb.manner
00012591-r,well,took the tragic news well,adverb.manner
00012748-r,badly,they took their defeat badly,adverb.manner
00012748-r,badly,took her father's death badly,adverb.manner
00012748-r,badly,conducted himself very badly at the time of the earthquake,adverb.manner
00012993-r,well,I might well do it,adverb.degree
00012993-r,easily,a mistake that could easily have ended in disaster,adverb.degree
00012993-r,well,you may well need your umbrella,adverb.degree
00012993-r,well,he could equally well be trying to deceive us,adverb.degree
00013241-r,well,The problem is well understood,adverb.degree
00013241-r,well,she was well informed,adverb.degree
00013241-r,well,shake well before using,adverb.manner
00013241-r,well,"in order to avoid food poisoning, be sure the meat is well cooked",adverb.degree
00013554-r,well,their neighbors spoke well of them,adverb.manner
00013554-r,well,he thought well of the book,adverb.manner
00013698-r,ill,tried not to speak ill of the dead,adverb.manner
00013698-r,badly,thought badly of him for his lack of concern,adverb.manner
00013891-r,well,the project was well underway,adverb.degree
00013891-r,well,the fetus has well developed organs,adverb.degree
00013891-r,well,his father was well pleased with his grades,adverb.degree
00014088-r,well,They live well,adverb.manner
00014088-r,comfortably,she has been able to live comfortably since her husband died,adverb.manner
00014255-r,well,she married well,adverb.manner
00014255-r,advantageously,The children were settled advantageously in Seattle,adverb.manner
00014476-r,badly,the venture turned out badly for the investors,adverb.manner
00014476-r,disadvantageously,angry that the case was settled disadvantageously for them,adverb.manner
00014747-r,well,I'm afraid the film was well over budget,adverb.degree
00014747-r,considerably,painting the room white made it seem considerably (or substantially) larger,adverb.degree
00014747-r,considerably,the house has fallen considerably in value,adverb.degree
00014747-r,substantially,the price went up substantially,adverb.degree
00015078-r,well,she dances well,adverb.manner
00015078-r,well,he writes well,adverb.manner
00015200-r,badly,she writes badly,adverb.manner
00015200-r,badly,I think he paints very badly,adverb.manner
00015344-r,well,You would do well to say nothing more,adverb.subject_oriented
00015344-r,well,could not well refuse,adverb.manner
00015469-r,well,we knew them well,adverb.degree
00015597-r,well,a book well worth reading,adverb.degree
00015597-r,well,was well aware of the difficulties ahead,adverb.degree
00015597-r,well,suspected only too well what might be going on,adverb.manner
00015933-r,okay,she'll do okay on her own,adverb.manner
00016168-r,unsatisfactorily,He performed unsatisfactorily as a manager,adverb.manner
00016415-r,badly,fingers so badly frozen they had to be amputated,adverb.degree
00016415-r,badly,badly injured,adverb.degree
00016415-r,severely,a severely impaired heart,adverb.degree
00016415-r,gravely,is gravely ill,adverb.degree
00016415-r,seriously,was seriously ill,adverb.degree
00016702-r,badly,I wanted it badly enough to work hard for it,adverb.degree
00016702-r,badly,the cables had sagged badly,adverb.degree
00016702-r,badly,they were badly in need of help,adverb.degree
00016702-r,bad,he wants a bicycle so bad he can taste it,adverb.degree
00016920-r,badly,the injury hurt badly,adverb.degree
00016920-r,badly,the buildings were badly shaken,adverb.degree
00016920-r,bad,it hurts bad,adverb.degree
00016920-r,bad,we need water bad,adverb.degree
00017140-r,badly,he behaved badly in school,adverb.manner
00017140-r,mischievously,he mischievously looked for a chance to embarrass his sister,adverb.manner
00017140-r,naughtily,behaved naughtily when they had guests and was sent to his room,adverb.manner
00017412-r,badly,treated his parents badly,adverb.manner
00017412-r,badly,to steal is to act badly,adverb.manner
00017539-r,worse,he did worse on the second exam,adverb.manner
00017703-r,worst,She suffered worst of all,adverb.degree
00017703-r,worst,schools were the worst hit by government spending cuts,adverb.degree
00017703-r,worst,the worst dressed person present,adverb.manner
00017907-r,even,even an idiot knows that,adverb.focus
00017907-r,even,declined even to consider the idea,adverb.focus
00017907-r,even,I don't have even a dollar!,adverb.focus
00018101-r,even,looked sick and felt even worse,adverb.focus
00018101-r,even,an even (or still) more interesting problem,adverb.focus
00018101-r,still,still another problem must be solved,adverb.focus
00018101-r,yet,a yet sadder tale,adverb.degree
00018505-r,even,"even when he is sick, he works",adverb.focus
00018505-r,even,even with his head start she caught up with him,adverb.focus
00018651-r,even,loyal even unto death,adverb.focus
00018764-r,rather,it was rather cold,adverb.degree
00018764-r,rather,the party was rather nice,adverb.degree
00018764-r,rather,the knife is rather dull,adverb.degree
00018764-r,rather,I rather regret that I cannot attend,adverb.degree
00018764-r,rather,He's rather good at playing the cello,adverb.degree
00019039-r,quite,you're quite right,adverb.degree
00019039-r,quite,she was quite alone,adverb.degree
00019039-r,quite,was quite mistaken,adverb.degree
00019039-r,quite,quite the opposite,adverb.degree
00019039-r,quite,not quite finished,adverb.degree
00019039-r,quite,did not quite make it,adverb.degree
00019243-r,quite,quite tasty,adverb.degree
00019243-r,quite,quite soon,adverb.degree
00019243-r,quite,quite ill,adverb.degree
00019243-r,quite,quite rich,adverb.degree
00019380-r,quite,her victory was quite something,adverb.degree
00019380-r,quite,she's quite a girl,adverb.degree
00019380-r,quite,quite a film,adverb.degree
00019380-r,quite,quite a walk,adverb.degree
00019380-r,quite,we've had quite an afternoon,adverb.degree
00019643-r,quite,was quite a sudden change,adverb.degree
00019643-r,quite,it's quite the thing to do,adverb.degree
00019643-r,quite,quite the rage,adverb.degree
00019801-r,always,I will always be there to help you,adverb.frequency
00019801-r,always,always arrives on time,adverb.frequency
00019801-r,always,there is always some pollution in the air,adverb.frequency
00019801-r,ever,ever hoping to strike it rich,adverb.frequency
00019801-r,ever,ever busy,adverb.frequency
00020071-r,always,we will always be friends,adverb.frequency
00020071-r,always,I shall treasure it always,adverb.frequency
00020071-r,always,I will always love you,adverb.frequency
00020219-r,always,you can always resign if you don't like it,adverb.frequency
00020219-r,always,you could always take a day off,adverb.frequency
00020597-r,consecutively,"he was consecutively ill, then well, then ill again",adverb.temporal
00020735-r,constantly,the world is constantly changing,adverb.frequency
00020931-r,constantly,constantly kind and gracious,adverb.frequency
00020931-r,always,he always arrives on time,adverb.frequency
00021214-r,never,I have never been to China,adverb.frequency
00021214-r,never,I shall never forget this day,adverb.frequency
00021214-r,never,had never seen a circus,adverb.frequency
00021214-r,never,never on Sunday,adverb.frequency
00021214-r,never,I will never marry you!,adverb.frequency
00021214-r,never,never fear,adverb.frequency
00021667-r,occasionally,he was arrogant and occasionally callous,adverb.frequency
00021667-r,occasionally,open areas are only occasionally interrupted by clumps of trees,adverb.frequency
00022156-r,sometime,let's get together sometime,adverb.temporal
00022156-r,sometime,everything has to end sometime,adverb.temporal
00022156-r,sometime,It was to be printed sometime later,adverb.temporal
00022332-r,sometimes,sometimes she wished she were back in England,adverb.frequency
00022332-r,sometimes,sometimes her photography is breathtaking,adverb.frequency
00022332-r,sometimes,sometimes they come for a month; at other times for six months,adverb.frequency
00022585-r,equally,they were equally beautiful,adverb.degree
00022585-r,as,birds were singing and the child sang as sweetly,adverb.degree
00022585-r,as,sang as sweetly as a nightingale,adverb.degree
00022585-r,as,he is every bit as mean as she is,adverb.degree
00023283-r,much,much the same thing happened every time,adverb.degree
00023283-r,practically,practically everything in Hinduism is the manifestation of a god,adverb.degree
00023528-r,palmately,palmately cleft,adverb.manner
00023933-r,conventionally,he usually behaves rather conventionally,adverb.manner
00024080-r,unconventionally,she always behaves rather unconventionally,adverb.manner
00024317-r,pictorially,depth is established pictorially,adverb.manner
00024432-r,not,he does not speak French,adverb.focus
00024432-r,not,she is not going,adverb.focus
00024432-r,not,they are not friends,adverb.focus
00024432-r,not,not many,adverb.focus
00024432-r,not,not much,adverb.focus
00024432-r,not,not at all,adverb.degree
00024616-r,nothing,he looks nothing like his father,adverb.degree
00024868-r,any,it isn't any better,adverb.degree
00024946-r,no,he is no better today,adverb.degree
00025041-r,none,seemed none too pleased with his dinner,adverb.degree
00025041-r,none,shirt looked none the worse for having been slept in,adverb.degree
00025041-r,none,none too prosperous,adverb.degree
00025041-r,none,the passage is none too clear,adverb.degree
00025252-r,either,"he isn't stupid, but he isn't exactly a genius either",adverb.focus
00025252-r,either,I don't know either,adverb.focus
00025252-r,either,if you don't order dessert I won't either,adverb.focus
00025503-r,bloody,you are bloody right,adverb.degree
00025503-r,all-fired,Why are you so all-fired aggressive?,adverb.degree
00025699-r,anywhere,you can find this food anywhere,adverb.spatial
00025873-r,nowhere,I am going nowhere,adverb.spatial
00025968-r,somewhere,she must be somewhere,adverb.spatial
00026137-r,everywhere,You find fast food stores everywhere,adverb.spatial
00026137-r,everywhere,people everywhere are becoming aware of the problem,adverb.spatial
00026137-r,everywhere,he carried a gun everywhere he went,adverb.spatial
00026546-r,somehow,they managed somehow,adverb.manner
00026546-r,somehow,he expected somehow to discover a woman who would love him,adverb.manner
00026546-r,someway,he tried to make it someway acceptable,adverb.degree
00026794-r,somehow,It doesn't seem fair somehow,adverb.speaker_oriented
00026794-r,somehow,he had me dead to rights but somehow I got away with it,adverb.manner
00027635-r,anyhow,they came anyhow they could,adverb.manner
00027635-r,anyway,get it done anyway you can,adverb.manner
00027761-r,however,"although I'm a little afraid, however I'd like to try it",adverb.conjunctive
00027761-r,nevertheless,"while we disliked each other, nevertheless we agreed",adverb.conjunctive
00027761-r,yet,he was a stern yet fair master,adverb.conjunctive
00027761-r,still,"granted that it is dangerous, all the same I still want to go",adverb.conjunctive
00028191-r,yet,I have yet to see the results,adverb.temporal
00028191-r,yet,details are yet to be worked out,adverb.temporal
00028314-r,yet,the sun isn't up yet,adverb.temporal
00028594-r,yet,the largest drug bust yet,adverb.temporal
00028715-r,only,It was the same story; only this time she came out better,adverb.conjunctive
00028820-r,however,"Victory, however it was brought about, was sweet",adverb.manner
00028820-r,however,"however he did it, it was very clever",adverb.manner
00028974-r,however,"The results, however general, are important",adverb.degree
00028974-r,however,"they have begun, however reluctantly, to acknowledge the legitimacy of some of the opposition's concerns",adverb.degree
00029319-r,lightly,he took it lightly,adverb.manner
00030035-r,farther,farther north,adverb.degree
00030035-r,farther,moved farther away,adverb.degree
00030035-r,farther,farther down the corridor,adverb.degree
00030035-r,farther,the practice may go back still farther to the Druids,adverb.degree
00030035-r,further,went only three miles further,adverb.spatial
00030035-r,further,further in the future,adverb.degree
00030381-r,further,further complicated by uncertainty about the future,adverb.degree
00030381-r,further,let's not discuss it further,adverb.degree
00030381-r,further,nothing could be further from the truth,adverb.degree
00030381-r,further,they are further along in their research than we expected,adverb.degree
00030381-r,farther,the application of the law was extended farther,adverb.degree
00030381-r,farther,he is going no farther in his studies,adverb.degree
00030839-r,further,if we further suppose,adverb.focus
00030839-r,further,stated further that he would not cooperate with them,adverb.focus
00031050-r,farthest,see who could jump the farthest,adverb.degree
00031050-r,farthest,chose the farthest seat from the door,adverb.spatial
00031050-r,furthest,he swam the furthest,adverb.spatial
00031310-r,furthest,went the furthest of all the children in her education,adverb.degree
00031310-r,furthest,furthest removed from reality,adverb.degree
00031310-r,farthest,she goes farthest in helping us,adverb.degree
00031700-r,still,it's still warm outside,adverb.temporal
00031700-r,still,will you still love me when we're old and grey?,adverb.temporal
00032002-r,anymore,Alice doesn't live here anymore,adverb.temporal
00032194-r,already,she has already graduated,adverb.temporal
00032295-r,very,she was very gifted,adverb.degree
00032295-r,very,he played very well,adverb.degree
00032295-r,really,a really enjoyable evening,adverb.degree
00032295-r,real,I'm real sorry about it,adverb.degree
00032295-r,rattling,a rattling good yarn,adverb.degree
00032295-r,most,a most welcome relief,adverb.degree
00032295-r,precious,there is precious little time left,adverb.degree
00032576-r,fabulously,she plays fabulously well,adverb.degree
00032576-r,incredibly,behind you the coastal hills plunge to the incredibly blue sea backed by the Turkish mountains,adverb.degree
00032793-r,mighty,the baby is mighty cute,adverb.degree
00032793-r,mighty,he's mighty tired,adverb.degree
00032793-r,powerful,it is powerful humid,adverb.degree
00032793-r,powerful,that boy is powerful big now,adverb.degree
00032793-r,right,they have a right nice place,adverb.degree
00032793-r,mightily,they rejoiced mightily,adverb.degree
00033092-r,fucking,what took you so fucking long?,adverb.degree
00033190-r,much,he was much annoyed,adverb.degree
00033250-r,henceforth,henceforth she will be known as Mrs. Smith,adverb.temporal
00033383-r,hereafter,hereafter you will no longer receive an allowance,adverb.temporal
00033526-r,hereafter,hope to win salvation hereafter,adverb.temporal
00033695-r,just,he has just arrived,adverb.temporal
00033695-r,just,the sun just now came out,adverb.temporal
00033808-r,outright,he was killed outright,adverb.temporal
00033949-r,mildly,he was mildly interested,adverb.degree
00034196-r,anon,see you anon,adverb.temporal
00034309-r,soon,the doctor will soon be here,adverb.temporal
00034309-r,shortly,the book will appear shortly,adverb.temporal
00034309-r,presently,she will arrive presently,adverb.temporal
00034576-r,shortly,he was at the airport shortly before she was expected to arrive,adverb.temporal
00034576-r,briefly,she visited him briefly,adverb.temporal
00034576-r,briefly,was briefly associated with IBM,adverb.temporal
00034695-r,shortly,the hem fell shortly below her knees,adverb.degree
00034790-r,momently,she will be with you momently,adverb.temporal
00034887-r,shoulder-to-shoulder,the troops marched shoulder-to-shoulder,adverb.manner
00035028-r,soonest,the soonest I can arrive is 3 P.M.,adverb.temporal
00035445-r,often,we often met over a cup of coffee,adverb.frequency
00035707-r,anon,ever and anon,adverb.frequency
00035772-r,rarely,we rarely met,adverb.frequency
00035878-r,curiously,had a curiously husky voice,adverb.degree
00035878-r,peculiarly,he's behaving rather peculiarly,adverb.manner
00036138-r,pretty,pretty big,adverb.degree
00036138-r,pretty,pretty bad,adverb.degree
00036138-r,jolly,jolly decent of him,adverb.degree
00036138-r,reasonably,the shoes are priced reasonably,adverb.degree
00036138-r,fairly,he is fairly clever with computers,adverb.degree
00036472-r,unreasonably,his prices are unreasonably high,adverb.degree
00036695-r,somewhat,his arguments were somewhat self-contradictory,adverb.degree
00036695-r,slightly,the children argued because one slice of cake was slightly larger than the other,adverb.degree
00036919-r,movingly,she sang movingly,adverb.manner
00037013-r,extensively,oxidation ponds are extensively used for sewage treatment in the Midwest,adverb.degree
00037329-r,decidedly,it was decidedly too expensive,adverb.degree
00037620-r,truly,she was now truly American,adverb.degree
00037620-r,genuinely,a genuinely open society,adverb.degree
00037620-r,really,they don't really listen to us,adverb.degree
00038035-r,indeed,they said the car would break down and indeed it did,adverb.speaker_oriented
00038035-r,indeed,it is very cold indeed,adverb.degree
00038035-r,indeed,was indeed grateful,adverb.degree
00038035-r,so,he did so do it!,adverb.focus
00038407-r,truly,a truly awful book,adverb.degree
00039161-r,unnaturally,The early Church not unnaturally adopted the position that failure to see the messianic character of his work was really caused by the people's own blindness,adverb.speaker_oriented
00039452-r,clearly,they were clearly lost,adverb.speaker_oriented
00039452-r,clearly,history has clearly shown the folly of that policy,adverb.manner
00039730-r,obviously,the answer is obviously wrong,adverb.speaker_oriented
00039730-r,evidently,she was in bed and evidently in great pain,adverb.speaker_oriented
00039730-r,manifestly,he was manifestly too important to leave off the guest list,adverb.speaker_oriented
00039730-r,patently,it is all patently nonsense,adverb.speaker_oriented
00039730-r,apparently,she has apparently been living here for some time,adverb.speaker_oriented
00039730-r,apparently,"I thought he owned the property, but apparently not",adverb.speaker_oriented
00039730-r,plainly,You are plainly wrong,adverb.speaker_oriented
00039730-r,plain,he is plain stubborn,adverb.degree
00040353-r,apparently,irrigation often produces bumper crops from apparently desert land,adverb.speaker_oriented
00040353-r,seemingly,the child is seemingly healthy but the doctor is concerned,adverb.speaker_oriented
00040777-r,again,she tried again,adverb.frequency
00040777-r,again,they rehearsed the scene again,adverb.frequency
00040959-r,accidentally,they met accidentally,adverb.manner
00042168-r,specifically,a program specifically for teenagers,adverb.focus
00042168-r,specifically,he is interested specifically in poisonous snakes,adverb.focus
00042544-r,nonspecifically,nonspecifically staining substances,adverb.manner
00042664-r,fortunately,fortunately the weather was good,adverb.speaker_oriented
00042894-r,happily,happily he was not injured,adverb.speaker_oriented
00043024-r,sadly,sadly he died before he could see his grandchild,adverb.speaker_oriented
00043179-r,unfortunately,unfortunately it rained all day,adverb.speaker_oriented
00043413-r,therefore,therefore X must be true,adverb.speaker_oriented
00043413-r,hence,the eggs were fresh and hence satisfactory,adverb.speaker_oriented
00043413-r,thence,we were young and thence optimistic,adverb.temporal
00043413-r,thus,it is late and thus we must go,adverb.conjunctive
00043413-r,so,the witness is biased and so cannot be trusted,adverb.conjunctive
00043846-r,hence,a year hence it will be forgotten,adverb.temporal
00044018-r,thence,proceeded thence directly to college,adverb.spatial
00044018-r,thence,flew to Helsinki and thence to Moscow,adverb.spatial
00044018-r,therefrom,roads that lead therefrom,adverb.spatial
00044204-r,thence,a natural conclusion follows thence,adverb.spatial
00044204-r,therefrom,public interest and a policy deriving therefrom,adverb.spatial
00044204-r,therefrom,typhus fever results therefrom,adverb.spatial
00044486-r,therefor,ordering goods and enclosing payment therefor,adverb.conjunctive
00044486-r,therefor,a refund therefor,adverb.conjunctive
00044672-r,vocationally,vocationally trained,adverb.domain
00044989-r,one-on-one,preferred to settle the matter one-on-one,adverb.manner
00044989-r,person-to-person,interviewed her person-to-person,adverb.manner
00045164-r,face-to-face,she met the president face-to-face,adverb.manner
00045286-r,face-to-face,the two photographs lay face-to-face on the table,adverb.spatial
00045286-r,face-to-face,lived all their lives in houses face-to-face across the street,adverb.spatial
00045286-r,opposite,they sat opposite at the table,adverb.spatial
00045532-r,vis-a-vis,they sat vis-a-vis at the table,adverb.spatial
00045532-r,vis-a-vis,I found myself vis-a-vis a burly policeman,adverb.spatial
00046047-r,beyond,agreed to provide essentials but nothing beyond,adverb.degree
00046144-r,beyond,through the valley and beyond,adverb.spatial
00046144-r,beyond,to the eighth grade but not beyond,adverb.degree
00046144-r,beyond,will be influential in the 1990s and beyond,adverb.temporal
00046337-r,beyond,a pond with a hayfield beyond,adverb.spatial
00046442-r,otherwise,he is otherwise normal,adverb.focus
00046442-r,otherwise,the funds are not otherwise available,adverb.manner
00046442-r,otherwise,an otherwise hopeless situation,adverb.focus
00046607-r,additionally,he serves additionally as the CEO,adverb.focus
00046739-r,extremely,extremely cold,adverb.degree
00046739-r,extremely,extremely unpleasant,adverb.degree
00046739-r,super,she is super smart,adverb.degree
00046739-r,deathly,the night was deathly cold,adverb.degree
00046739-r,deathly,"as a child, I was deathly afraid of snakes",adverb.degree
00046739-r,whopping,they all were whopping drunk,adverb.degree
00046987-r,drop-dead,she was drop-dead gorgeous,adverb.degree
00047177-r,madly,she was madly in love,adverb.degree
00047177-r,deadly,deadly dull,adverb.degree
00047177-r,deadly,deadly earnest,adverb.degree
00047177-r,deucedly,deucedly clever,adverb.degree
00047177-r,insanely,insanely jealous,adverb.degree
00047401-r,inordinately,she was inordinately smart,adverb.degree
00047401-r,extraordinarily,it will be an extraordinarily painful step to negotiate,adverb.degree
00047930-r,too,too big,adverb.degree
00048072-r,too,"he has a Mercedes, too",adverb.focus
00048179-r,yet,he longed for the flowers that were yet to show themselves,adverb.temporal
00048441-r,ultimately,ultimately he had to give in,adverb.temporal
00048806-r,presently,he is presently our ambassador to the United Nations,adverb.temporal
00048806-r,currently,currently they live in Connecticut,adverb.temporal
00049013-r,now,we now rarely see horse-drawn vehicles on city streets,adverb.temporal
00049013-r,today,today almost every home has television,adverb.temporal
00049277-r,immediately,he answered immediately,adverb.temporal
00049277-r,straightaway,found an answer straightaway,adverb.temporal
00049277-r,forthwith,an official accused of dishonesty should be suspended forthwith,adverb.temporal
00049640-r,now,now hear this!,adverb.temporal
00049640-r,now,now pay attention,adverb.temporal
00049758-r,now,goods now on sale,adverb.temporal
00049758-r,now,they are now abroad,adverb.temporal
00049758-r,now,it could happen any time now,adverb.temporal
00049971-r,now,President Kennedy now calls in the National Guard,adverb.temporal
00049971-r,now,Washington now decides to cross the Delaware,adverb.temporal
00049971-r,now,the ship is now listing to port,adverb.temporal
00050223-r,now,told me just now,adverb.temporal
00050485-r,sharply,she was being sharply questioned,adverb.manner
00050613-r,shrilly,she sang rather shrilly,adverb.manner
00050724-r,steadily,his interest eroded steadily,adverb.manner
00050835-r,happily,they shouted happily,adverb.manner
00051094-r,unhappily,they were unhappily married,adverb.manner
00051219-r,no,he was no heavier than a child,adverb.degree
00051355-r,firmly,we firmly believed it,adverb.degree
00051355-r,firm,you must stand firm,adverb.manner
00051555-r,straightforwardly,dealt straightforwardly with all issues,adverb.manner
00051806-r,squarely,hit the ball squarely,adverb.manner
00051806-r,squarely,the bat met the ball squarely,adverb.manner
00051806-r,square,planted his great bulk square before his enemy,adverb.manner
00051978-r,squarely,a squarely cut piece of paper,adverb.manner
00051978-r,square,folded the sheet of paper square,adverb.manner
00052128-r,squarely,to face a problem squarely,adverb.manner
00052128-r,squarely,the responsibility lies squarely with them,adverb.degree
00052128-r,forthright,spoke forthright (or forthrightly) and to the point,adverb.manner
00052386-r,directly,the path leads directly to the lake,adverb.manner
00052386-r,direct,went direct to the office,adverb.manner
00052564-r,squarely,looked him squarely in the eye,adverb.manner
00052564-r,square,ran square into me,adverb.manner
00052690-r,due,went due North,adverb.degree
00052769-r,variously,the alternatives that are variously represented by the participants,adverb.manner
00052769-r,diversely,the speakers treated the subject most diversely,adverb.manner
00053027-r,indefatigably,she watched the show indefatigably,adverb.manner
00053197-r,biradially,biradially symmetrical,adverb.manner
00053300-r,bitterly,she complained bitterly,adverb.manner
00053420-r,bitterly,he was bitterly disappointed,adverb.degree
00053812-r,swiftly,she moved swiftly,adverb.manner
00053932-r,openly,he openly flaunted his affection for his sister,adverb.manner
00054050-r,practically,practically orientated institutions such as business schools,adverb.manner
00054050-r,practically,a brilliant man but so practically inept that he needed help to cross the road safely,adverb.domain
